PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
7A81E8D5,kdd15-p1035,stochastic divergence minimization for online collapsed variational bayes zero inference of latent dirichlet allocation,kdd,kdd15,2015,university of tokyo,hiroshi nakagawa|issei sato,817628DB|800DD778,stochastic optimization|topic modeling|latent dirichlet allocation
7D60588D,kdd10-d81,grafting light fast incremental feature selection and structure learning of markov random fields,kdd,kdd10,2010,carnegie mellon university,eric p xing|ni lao|jun zhu,84A938BA|14EED946|7FDD7A85,parameter estimation|maximum likelihood estimate|gradient descent|algorithms|feature selection|complex data
76065173,kdd13-d48,debiasing social wisdom,kdd,kdd13,2013,microsoft,sreenivas gollapudi|rina panigrahy|mahyar salek|abhimanyu das,78986B23|7B6F49C4|7E17537C|84FF4740,social networks
7D72D04B,kdd12-d202,the contextual focused topic model,kdd,kdd12,2012,duke university,xu chen|lawrence carin|mingyuan zhou,84B613E3|272FB205|81583A41,clustering|random effects|topic modeling
768B16AB,kdd15-p2177,interpreting advertiser intent in sponsored search,kdd,kdd15,2015,microsoft,bhanu c vattikonda|vacha dave|alex c snoeren|hongyan zhou|santhosh kodipaka|saikat guha,84E4D65D|7A3643B2|85305AA4|7DEBB0CB|7FF0D8A5|80B1DC4A,online advertising
7D93209E,kdd03-d32,empirical bayesian data mining for discovering patterns in post marketing drug safety,kdd,kdd03,2003,glaxosmithkline,william dumouchel|david fram|june s almenoff,2C382C70|7B1BC2F4|076056AC,data mining|post marketing surveillance|adverse event|adverse reaction|association rule|association rules|drug safety|pharmacovigilance
76F1BB1D,kdd07-d100,practical learning from one sided feedback,kdd,kdd07,2007,tufts university,d sculley,7F38EC19,document retrieval|active learning|data mining
75C0BFB4,kdd10-d128,overlapping experiment infrastructure more better faster experimentation,kdd,kdd10,2010,google,ashish agarwal|michael b meyer|deirdre b obrien|diane tang,7E950D1A|84B390C7|80F1C487|7D8FFAF5,website testing|user experience|human factors|automation|user interface|design|search engine|machine learning|real time
7DE65620,kdd04-d1,a cross collection mixture model for comparative text mining,kdd,kdd04,2004,university of illinois at urbana champaign,bei yu|chengxiang zhai|atulya velivelli,7AF87B24|7CEEF33E|80509AFE,text mining|clustering|mixture model|expectation maximization|business intelligence|em algorithm|mixture models
7AA44B52,kdd13-d132,one theme in all views modeling consensus topics in multiple contexts,kdd,kdd13,2013,peking university,qiaozhu mei|jian tang|ming zhang,808D0B90|811B187D|851ECD69,topic modeling|user generated content
80923D2A,kdd10-d78,generative models for ticket resolution in expert networks,kdd,kdd10,2010,university of california santa barbara,nikos anerousis|xifeng yan|l e moser|gengxin miao|yi chen|shu tao,77E477D3|7CF74F05|7DD373CC|7F9232D1|7E29A2A0|806B160C,service provider|global optimization|maximum likelihood estimate|generative model|network model|probabilistic algorithm
804D5DC1,kdd07-d33,detecting changes in large data sets of payment card data a case study,kdd,kdd07,2007,visa inc,steve vejcik|robert l grossman|david locke|joseph bugajski|chris curry,829F2DD5|75B1D6F2|7A786C72|7E78979F|85655091,data cube|payment cards|data quality|change detection|data mining|baselines
7D2C8B77,kdd12-d26,automatic taxonomy construction from keywords,kdd,kdd12,2012,microsoft,shixia liu|xueqing liu|yangqiu song|haixun wang,7E5E4F30|7DD601BA|7E2B2390|84792AEE,information extraction|hierarchical clustering|online advertising|knowledgebase|bayesian approach
76BFA37A,kdd07-d89,modeling relationships at multiple scales to improve accuracy of large recommender systems,kdd,kdd07,2007,at t labs,robert m bell|yehuda koren|chris volinsky,07C370A7|7F24ABF9|83392359,recommender system|collaborative filtering|unified model|iterative algorithm|recommender systems
771FB04D,kdd02-d39,exploiting unlabeled data in ensemble methods,kdd,kdd02,2002,university of minnesota duluth,ayhan demiriz|kristin p bennett|richard maclin,73329F67|7CFBF82D|7A0979E5,ensemble learning|classification|decision tree|boosting|semi supervised learning|neural network
7EC5F460,kdd15-p1641,the effectiveness of marketing strategies in social media evidence from promotional events,kdd,kdd15,2015,new york university,vilma todri|panagiotis adamopoulos,7A1A9A7E|14075603,social media|business value|counterfactual|business analytics|causal inference|event study
75D7F3B9,kdd15-p369,instance weighting for patient specific risk stratification models,kdd,kdd15,2015,massachusetts institute of technology,thoralf m sundt|james d rawn|jen j gong|john v guttag,0730FDDA|86051A1E|7A3FEB95|778AE4A5,transfer learning
7EA2E2F0,kdd08-d114,topical query decomposition,kdd,kdd08,2008,yahoo,carlos castillo|francesco bonchi|debora donato|aristides gionis,2BF27CC6|86288E43|81438E07|800909BC,set cover|clustering|document retrieval|search engine|greedy algorithm|set covering problem
78F56564,kdd13-d37,collaborative matrix factorization with multiple similarities for predicting drug target interactions,kdd,kdd13,2013,fudan university,hao ding|hiroshi mamitsuka|shanfeng zhu|xiaodong zheng,1095EE85|8326E82E|7E169C13|75215F5C,chemoinformatics
81311C31,kdd09-d111,name ethnicity classification from open sources,kdd,kdd09,2009,stony brook university,swapna male|anurag ambekar|steven skiena|charles b ward|jahangir mohammed,8488982F|7DE4C8E5|84EF97EE|7A66965B|79A3A9B6,hidden markov model|news analysis|ethnic group|social science|decision tree
13E8C9D2,kdd02-d99,user concept pattern discovery using relevance feedback and multiple instance learning for content based image retrieval,kdd,kdd02,2002,,shuching chen|chengcui zhang|meiling shyu|xin huang,79B5413B|7F0C01A3|7E44F07E|83D57F00,image retrieval
7D850319,kdd11-d50,dual active feature and sample selection for graph classification,kdd,kdd11,2011,ibm,xiangnan kong|philip s yu|wei fan,7EAA8442|7DF1D45A|7F7423EA,feature vector|active learning|branch and bound algorithm|empirical study|feature selection|data mining
7DB6D8B0,kdd10-d42,data mining with differential privacy,kdd,kdd10,2010,technion israel institute of technology,arik friedman|assaf schuster,805D2454|7F4CA361,differential privacy|decision trees|decision tree|data access|data mining
7BB6827B,kdd12-d130,mining emerging patterns by streaming feature selection,kdd,kdd12,2012,hefei university of technology,xindong wu|dan a simovici|wei ding|kui yu,85F06868|81032E28|7E94597A|06D42979,feature space|feature selection
760ECA0B,kdd13-d42,connecting users across social media sites a behavioral modeling approach,kdd,kdd13,2013,arizona state university,reza zafarani|huan liu,85B168DC|7A8BC8AF,mobius
78FD15E3,kdd09-d117,on compressing social networks,kdd,kdd09,2009,harvard university,michael mitzenmacher|silvio lattanzi|prabhakar raghavan|flavio chierichetti|alessandro panconesi|ravi kumar,769A1304|7EA3D2C5|7C1F673A|82D5C7EF|767FB405|82C105E0,data structure|compression|social network|reciprocity|social networks
7EFBBD89,kdd07-d13,association analysis based transformations for protein interaction networks a function prediction case study,kdd,kdd07,2007,university of minnesota,gaurav pandey|r k gupta|michael steinbach|tushar garg|vipin kumar,7F7BF3B4|85D75D99|8371AA0B|816EA6AE|85577AEC,protein function prediction|noise reduction|biological data|association analysis
7F2DAD09,kdd12-d97,hysad a semi supervised hybrid shilling attack detector for trustworthy product recommendation,kdd,kdd12,2012,nanjing university of finance and economics,jie cao|zhiang wu|dacheng tao|junjie wu,7D6A771B|801CBB4C|7EF1D2C0|80F0BF07,recommendation systems|collaborative filtering|naive bayes|selection effect|recommender system|semi supervised learning
7DEB2E0C,kdd13-d46,effective string processing and matching for author disambiguation,kdd,kdd13,2013,national taiwan university,chunliang li|felix wu|shoude lin|kuanhao huang|tuchun yin|yuchuan su|chengkuang wei|weisheng chin|yuchin juan|juipin wang|yuchen lu|tzuming kuo|tingwei lin|hsuantien lin|yong zhuang|chunpai yang|weicheng chang|hsiaoyu tung|chihjen lin|chengxia chang|chenghao tsai|tong yu|youngsan lin,7E4635E8|7DBC0AA5|7F4620AB|80E8FC96|7DF60B29|809BBB59|8076BCDA|7F98B5A0|813BBDC8|7E06884C|7E61F31B|7F00192C|7DE8710C|7FA20DB4|7EF7FF04|7DC79075|7E2C5D83|7ED116B9|7E58A9B3|7DAFCD6E|7F7A52A4|8118D6C5|7D6BCAA6,feature engineering
7867A555,kdd13-d187,trial and error in influential social networks,kdd,kdd13,2013,shanghai jiao tong university,liyu dou|xiaohui bei|ning chen|xiangru huang|ruixin qiang,84C01D9A|78130359|84D2EFF3|8003D897|84AD24A4,trial and error|social networks
7D3ACD98,kdd98-d9,an enhanced representation of time series which allows fast and accurate classification clustering and relevance feedback,kdd,kdd98,1998,university of california irvine,eamonn keogh|michael pazzani,8158A726|770496B2,time series data|synthetic data|time series
7593D5C7,kdd14-d44,experiments with non parametric topic models,kdd,kdd14,2014,monash university,swapnil mishra|wray buntine,0F83345D|850BF863,topic modelling
80F1B99F,kdd11-d89,meta optimization and its application to portfolio selection,kdd,kdd11,2011,university of minnesota,arindam banerjee|puja das,79731492|80787FC6,convex optimization|prediction model|convex combination
7BD566E7,kdd13-d72,fast rank 2 nonnegative matrix factorization for hierarchical document clustering,kdd,kdd13,2013,georgia institute of technology,da kuang|haesun park,78F81E62|7E8E17B5,nonnegative matrix factorization|active set algorithm
761D3EF4,kdd11-d68,high precision phrase based document classification on a modern scale,kdd,kdd11,2011,stanford university,ron bekkerman|matan gavish,0FC94792|7BDCC091,information bottleneck|natural language
7F499422,kdd05-d36,determining an author s native language by mining a text for errors,kdd,kdd05,2005,bar ilan university,kfir zigdon|jonathan schler|moshe koppel,80ECFF45|062B7298|1057B017,text mining|native language|support vector machine
775D5FDD,kdd15-p1085,discovery of meaningful rules in time series,kdd,kdd15,2015,university of california riverside,eamonn keogh|mohammad shokoohiyekta|bing hu|yanping chen|jesin zakaria|bilson campana,8158A726|7D86228B|7801A70F|75D7615A|7D13E573|7EE7A449,prediction|time series
7C4C978B,kdd12-d103,integrating community matching and outlier detection for mining evolutionary community outliers,kdd,kdd12,2012,university of illinois at urbana champaign,jing gao|yizhou sun|manish gupta|jiawei han,7F0CB66C|80C7A12D|7E06B2F1|7E7A3A69,outlier detection|anomaly detection
7FA33807,kdd07-d26,cost effective outbreak detection in networks,kdd,kdd07,2007,carnegie mellon university,natalie glance|jure leskovec|carlos guestrin|christos faloutsos|andreas krause|jeanne m vanbriesen,810D2197|7686F4FC|8311D172|6FF9A5FC|7B5DA7BC|088C36C7,greedy algorithm|graphs|information cascades|cost effectiveness
814F644F,kdd08-d32,combinational collaborative filtering for personalized community recommendation,kdd,kdd08,2008,university of california santa barbara,wenyen chen|dong zhang|edward y chang,806DCF8E|80457EFE|7E71F841,expectation maximization algorithm|collaborative filtering|probabilistic model|information retrieval|parallel computer|empirical study|gibbs sampling
7F4F4FC8,kdd14-d37,effective global approaches for mutual information based feature selection,kdd,kdd14,2014,university of melbourne,xuan vinh nguyen|james bailey|simone romano|jeffrey chan,7ED06547|84E11070|810CCCAC|860BCDA8,semi definite programming|mutual information|feature selection|global optimization
7F507FAA,kdd10-d165,user browsing models relevance versus examination,kdd,kdd10,2010,google,sugato basu|ni wang|daryl pregibon|ramakrishnan srikant,84782EA8|7B5B5847|775CAB73|8155C0BF,relevance|click through rate|search engine
7D7A509C,kdd05-d74,mining risk patterns in medical data,kdd,kdd05,2005,university of southern queensland,ross sparks|graham williams|chris w kelman|ada waichee fu|huidong jin|hongxing he|damien mcaullay|jie chen|jiuyong li,7BCD4888|7EC5D7CA|7CEDA416|7DFA5607|8113B359|8624A5DF|828597F7|7D41C23E|7E7B5938,relative risk
81784B7A,kdd11-d34,common component analysis for multiple covariance matrices,kdd,kdd11,2011,university of minnesota,arindam banerjee|huahua wang|daniel boley,7FC8D613|79731492|7891B17C,synthetic data|approximation error|principal component analysis|iterative algorithm|covariance matrix|pca|dimensionality reduction
0422B67F,kdd98-d59,towards the personalization of algorithms evaluation in data mining,kdd,kdd98,1998,,alexander schnabl|gholamreza nakhaeizadeh,785E971D|79043B1F,knowledge discovery|machine learning|data envelope analysis|model selection|data mining
