PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
7A81E8D5,kdd15-p1035,stochastic divergence minimization for online collapsed variational bayes zero inference of latent dirichlet allocation,kdd,kdd15,2015,university of tokyo,hiroshi nakagawa|issei sato,800DD778|817628DB,stochastic optimization|latent dirichlet allocation|topic modeling
7D60588D,kdd10-d81,grafting light fast incremental feature selection and structure learning of markov random fields,kdd,kdd10,2010,carnegie mellon university,jun zhu|ni lao|eric p xing,14EED946|84A938BA|7FDD7A85,algorithms|maximum likelihood estimate|complex data|parameter estimation|gradient descent|feature selection
76065173,kdd13-d48,debiasing social wisdom,kdd,kdd13,2013,microsoft,rina panigrahy|mahyar salek|abhimanyu das|sreenivas gollapudi,7B6F49C4|78986B23|84FF4740|7E17537C,social networks
7D72D04B,kdd12-d202,the contextual focused topic model,kdd,kdd12,2012,duke university,lawrence carin|mingyuan zhou|xu chen,272FB205|84B613E3|81583A41,random effects|clustering|topic modeling
768B16AB,kdd15-p2177,interpreting advertiser intent in sponsored search,kdd,kdd15,2015,microsoft,alex c snoeren|vacha dave|bhanu c vattikonda|saikat guha|hongyan zhou|santhosh kodipaka,7DEBB0CB|80B1DC4A|7A3643B2|84E4D65D|85305AA4|7FF0D8A5,online advertising
7D93209E,kdd03-d32,empirical bayesian data mining for discovering patterns in post marketing drug safety,kdd,kdd03,2003,glaxosmithkline,david fram|william dumouchel|june s almenoff,076056AC|2C382C70|7B1BC2F4,association rules|post marketing surveillance|association rule|drug safety|adverse reaction|pharmacovigilance|adverse event|data mining
76F1BB1D,kdd07-d100,practical learning from one sided feedback,kdd,kdd07,2007,tufts university,d sculley,7F38EC19,active learning|data mining|document retrieval
75C0BFB4,kdd10-d128,overlapping experiment infrastructure more better faster experimentation,kdd,kdd10,2010,google,deirdre b obrien|diane tang|ashish agarwal|michael b meyer,80F1C487|7E950D1A|84B390C7|7D8FFAF5,real time|machine learning|website testing|automation|user interface|search engine|user experience|human factors|design
7DE65620,kdd04-d1,a cross collection mixture model for comparative text mining,kdd,kdd04,2004,university of illinois at urbana champaign,atulya velivelli|chengxiang zhai|bei yu,7CEEF33E|7AF87B24|80509AFE,business intelligence|text mining|mixture models|expectation maximization|mixture model|clustering|em algorithm
7AA44B52,kdd13-d132,one theme in all views modeling consensus topics in multiple contexts,kdd,kdd13,2013,peking university,jian tang|qiaozhu mei|ming zhang,808D0B90|851ECD69|811B187D,user generated content|topic modeling
80923D2A,kdd10-d78,generative models for ticket resolution in expert networks,kdd,kdd10,2010,university of california santa barbara,gengxin miao|shu tao|l e moser|yi chen|xifeng yan|nikos anerousis,806B160C|7CF74F05|77E477D3|7DD373CC|7F9232D1|7E29A2A0,global optimization|service provider|probabilistic algorithm|maximum likelihood estimate|generative model|network model
